region,type,target,order,aic,rmse,mae,mape,train_size,test_size
LosAngeles,conventional,AveragePrice,"(2, 0, 1)",-247.2056072317751,0.35118875023005103,0.26186986049723976,18.627775607550515,135,34
LosAngeles,conventional,Total Volume,"(1, 1, 1)",3902.969810974741,763395.9046046017,595769.0130951402,26.560806756114395,135,34
LosAngeles,organic,AveragePrice,"(1, 0, 1)",-181.01884801667853,0.39439997865485726,0.35868439626639637,18.371017576673534,135,34
LosAngeles,organic,Total Volume,"(2, 1, 2)",2883.342981754291,26682.24249835426,17528.678314815905,18.089714957728102,135,34
NewYork,conventional,AveragePrice,"(1, 0, 1)",-155.27302028407843,0.16352467085385247,0.1367851119867884,9.172336881905311,135,34
NewYork,conventional,Total Volume,"(2, 1, 1)",3759.723187841413,462589.72625198803,298894.1723589418,17.205507212293174,135,34
NewYork,organic,AveragePrice,"(3, 1, 1)",-90.13575786020286,0.1876257067112329,0.14497957294381497,8.131693335703806,135,34
NewYork,organic,Total Volume,"(1, 1, 2)",3195.261359250724,75229.81927139882,27882.314156935212,18.529616134720296,135,34
DallasFtWorth,conventional,AveragePrice,"(2, 0, 1)",-356.35188741761357,0.20600539116632097,0.1537529619639973,14.414489282971319,135,34
DallasFtWorth,conventional,Total Volume,"(0, 1, 2)",3561.138123219696,253539.46809002015,209202.9636809178,17.333981780849715,135,34
DallasFtWorth,organic,AveragePrice,"(1, 0, 2)",-252.13705921996996,0.253362780184883,0.21805406564387395,13.15313994083766,135,34
DallasFtWorth,organic,Total Volume,"(0, 1, 2)",2759.675976537519,5247.436728950159,4556.060527893868,21.826982857172634,135,34
Houston,conventional,AveragePrice,"(1, 0, 1)",-332.26879031167863,0.22392390560482822,0.17477456325130736,18.07904404898981,135,34
Houston,conventional,Total Volume,"(0, 1, 2)",3616.531507395999,354984.6308531913,253912.89637256984,17.85065768685106,135,34
Houston,organic,AveragePrice,"(1, 0, 1)",-240.08473443160352,0.41104559554475106,0.3555432240459315,21.31450027169898,135,34
Houston,organic,Total Volume,"(1, 1, 2)",2690.7518469814468,10358.766694055854,9228.610699931232,40.7316013910325,135,34
PhoenixTucson,conventional,AveragePrice,"(1, 0, 1)",-254.13018827308554,0.24746941538901793,0.17951706532874398,17.887111670065657,135,34
PhoenixTucson,conventional,Total Volume,"(1, 1, 2)",3677.088996480421,339827.7013047922,286854.7618067078,27.39540535014178,135,34
PhoenixTucson,organic,AveragePrice,"(2, 1, 2)",-135.59819648520062,0.24418414830548904,0.2012680276676316,12.20699294827066,135,34
PhoenixTucson,organic,Total Volume,"(2, 1, 1)",2524.960304698364,4165.32807158094,3111.4364757430412,19.92557733452763,135,34
Denver,conventional,AveragePrice,"(2, 1, 2)",-210.15718992108953,0.21861385594028132,0.1939675475316801,16.41107604358347,135,34
Denver,conventional,Total Volume,"(1, 1, 2)",3572.774001003479,196124.5387239348,163558.19694041755,22.73623655443736,135,34
Denver,organic,AveragePrice,"(1, 0, 2)",-18.695456641221163,0.41871616212054164,0.36971061554575063,20.039717240310775,135,34
Denver,organic,Total Volume,"(2, 1, 2)",3111.6614274396434,15905.168499466554,13872.025466184221,81.45126063100587,135,34
SanFrancisco,conventional,AveragePrice,"(1, 0, 1)",-65.61489002236218,0.3048765968900531,0.24885701655349984,18.329904161513014,135,34
SanFrancisco,conventional,Total Volume,"(2, 1, 1)",3602.6894856109134,260717.30190119368,176117.29522244772,17.994642050590052,135,34
SanFrancisco,organic,AveragePrice,"(0, 1, 1)",6.381813164224354,0.4018645885221501,0.297121766796198,16.486711282523707,135,34
SanFrancisco,organic,Total Volume,"(3, 1, 1)",2696.6357389086897,12502.655829288646,10997.276736860493,45.46670971407137,135,34
BaltimoreWashington,conventional,AveragePrice,"(0, 1, 1)",-223.79323150196268,0.17821625505512675,0.1375115626180756,10.531955636728974,135,34
BaltimoreWashington,conventional,Total Volume,"(2, 1, 2)",3482.8909767671043,201049.33982552667,128510.262276646,13.565623948918597,135,34
BaltimoreWashington,organic,AveragePrice,"(0, 1, 2)",-141.02758083594972,0.23729896296412914,0.19931188013621792,13.542419943956965,135,34
BaltimoreWashington,organic,Total Volume,"(2, 1, 1)",2598.936557893414,12731.350707592925,9214.703499335943,17.929565320542896,135,34
Chicago,conventional,AveragePrice,"(1, 1, 1)",-170.66228365663324,0.3539759091080147,0.27954467797379984,17.144428819593323,135,34
Chicago,conventional,Total Volume,"(1, 1, 2)",3533.4991639404843,250682.0622357164,180112.71284165967,24.217480762361696,135,34
Chicago,organic,AveragePrice,"(1, 0, 1)",-145.979885061667,0.17330458342504454,0.13661644624821997,7.36835768020643,135,34
Chicago,organic,Total Volume,"(1, 1, 1)",2822.603353386221,10750.320755623998,8255.729202161996,35.031544526413114,135,34
Portland,conventional,AveragePrice,"(1, 0, 2)",-189.73133519690774,0.3944277887649246,0.30845746145886604,20.69072855329515,135,34
Portland,conventional,Total Volume,"(2, 1, 2)",3549.6426936323714,161658.87587770855,131987.2529920753,25.063415031605672,135,34
Portland,organic,AveragePrice,"(2, 1, 1)",66.88719155304047,0.5607422741909565,0.5259672337806166,28.512959584120097,135,34
Portland,organic,Total Volume,"(3, 1, 1)",2975.6814563966655,12820.118822815584,11010.133498295916,60.3920312067305,135,34
